student ID,gender,race/ethnicity,parental level of education,lunch
1,female,group B,bachelor's degree,standard
2,female,group C,some college,standard
3,female,group B,master's degree,standard
4,male,group A,associate's degree,free/reduced
5,male,group C,some college,standard
6,female,group B,associate's degree,standard
7,female,group B,some college,standard
8,male,group B,some college,free/reduced
9,male,group D,high school,free/reduced
10,female,group B,high school,free/reduced
11,male,group C,associate's degree,standard
12,male,group D,associate's degree,standard
13,female,group B,high school,standard
14,male,group A,some college,standard
15,female,group A,master's degree,standard
16,female,group C,some high school,standard
17,male,group C,high school,standard
18,female,group B,some high school,free/reduced
19,male,group C,master's degree,free/reduced
20,female,group C,associate's degree,free/reduced
21,male,group D,high school,standard
22,female,group B,some college,free/reduced
23,male,group D,some college,standard
24,female,group C,some high school,standard
25,male,group D,bachelor's degree,free/reduced
26,male,group A,master's degree,free/reduced
27,male,group B,some college,standard
28,female,group C,bachelor's degree,standard
29,male,group C,high school,standard
30,female,group D,master's degree,standard
31,female,group D,some college,standard
32,female,group B,some college,standard
33,female,group E,master's degree,free/reduced
34,male,group D,some college,standard
35,male,group E,some college,standard
36,male,group E,associate's degree,standard
37,female,group D,associate's degree,standard
38,female,group D,some high school,free/reduced
39,female,group D,associate's degree,free/reduced
40,male,group B,associate's degree,free/reduced
41,male,group C,associate's degree,free/reduced
42,female,group C,associate's degree,standard
43,female,group B,associate's degree,standard
44,male,group B,some college,free/reduced
45,female,group E,associate's degree,free/reduced
46,male,group B,associate's degree,standard
47,female,group A,associate's degree,standard
48,female,group C,high school,standard
49,female,group D,associate's degree,free/reduced
50,male,group C,high school,standard
51,male,group E,some college,standard
52,male,group E,associate's degree,free/reduced
53,male,group C,some college,standard
54,male,group D,high school,standard
55,female,group C,some high school,free/reduced
56,female,group C,high school,free/reduced
57,female,group E,associate's degree,standard
58,male,group D,associate's degree,standard
59,male,group D,some college,standard
60,female,group C,some high school,free/reduced
61,male,group E,bachelor's degree,free/reduced
62,male,group A,some high school,free/reduced
63,male,group A,associate's degree,free/reduced
64,female,group C,associate's degree,standard
65,female,group D,some high school,standard
66,male,group B,some high school,standard
67,male,group D,some high school,free/reduced
68,female,group C,some college,standard
69,male,group B,associate's degree,free/reduced
70,female,group C,associate's degree,standard
71,female,group D,some college,free/reduced
72,male,group D,some college,standard
73,female,group A,associate's degree,free/reduced
74,male,group C,some high school,free/reduced
75,male,group C,some high school,standard
76,male,group B,associate's degree,free/reduced
77,male,group E,some high school,standard
78,male,group A,bachelor's degree,standard
79,female,group D,some high school,standard
80,female,group E,master's degree,standard
81,female,group B,associate's degree,standard
82,male,group B,high school,free/reduced
83,male,group A,some college,free/reduced
84,male,group E,associate's degree,standard
85,male,group D,high school,free/reduced
86,female,group C,some college,standard
87,female,group C,some college,free/reduced
88,female,group D,associate's degree,standard
89,female,group A,some college,standard
90,female,group D,some high school,standard
91,female,group C,bachelor's degree,standard
92,male,group C,high school,free/reduced
93,male,group C,high school,standard
94,male,group C,associate's degree,free/reduced
95,female,group B,some college,standard
96,male,group C,associate's degree,free/reduced
97,male,group B,some high school,standard
98,female,group E,some college,standard
99,female,group D,some college,free/reduced
100,female,group D,bachelor's degree,standard
101,male,group B,some college,standard
102,male,group D,bachelor's degree,standard
103,female,group D,associate's degree,standard
104,male,group B,high school,standard
105,male,group C,some college,standard
106,female,group C,some college,standard
107,female,group D,master's degree,standard
108,male,group E,associate's degree,standard
109,female,group B,associate's degree,free/reduced
110,female,group B,some high school,standard
111,female,group D,associate's degree,free/reduced
112,male,group C,high school,standard
