total_rooms,housing_median_age,population,median_house_value
880.0,41.0,322.0,452600.0
7099.0,21.0,2401.0,358500.0
1467.0,52.0,496.0,352100.0
1274.0,52.0,558.0,341300.0
1627.0,52.0,565.0,342200.0
919.0,52.0,413.0,269700.0
2535.0,52.0,1094.0,299200.0
3104.0,52.0,1157.0,241400.0
2555.0,42.0,1206.0,226700.0
3549.0,52.0,1551.0,261100.0
2202.0,52.0,910.0,281500.0
3503.0,52.0,1504.0,241800.0
2491.0,52.0,1098.0,213500.0
696.0,52.0,345.0,191300.0
2643.0,52.0,1212.0,159200.0
1120.0,50.0,697.0,140000.0
1966.0,52.0,793.0,152500.0
1228.0,52.0,648.0,155500.0
2239.0,50.0,990.0,158700.0
1503.0,52.0,690.0,162900.0
751.0,40.0,409.0,147500.0
1639.0,42.0,929.0,159800.0
2436.0,52.0,1015.0,113900.0
1688.0,52.0,853.0,99700.0
2224.0,52.0,1006.0,132600.0
535.0,41.0,317.0,107500.0
1130.0,49.0,607.0,93800.0
1898.0,52.0,1102.0,105500.0
2082.0,50.0,1131.0,108900.0
729.0,52.0,395.0,132000.0
1916.0,49.0,863.0,122300.0
2153.0,52.0,1168.0,115200.0
1922.0,48.0,1026.0,110400.0
1655.0,49.0,754.0,104900.0
2665.0,51.0,1258.0,109700.0
1215.0,49.0,570.0,97200.0
1798.0,48.0,987.0,104500.0
1511.0,52.0,901.0,103900.0
1470.0,52.0,689.0,191400.0
2432.0,52.0,1377.0,176000.0
1665.0,52.0,946.0,155400.0
936.0,51.0,517.0,150000.0
713.0,49.0,462.0,118800.0
950.0,52.0,467.0,188800.0
1443.0,52.0,660.0,184400.0
1656.0,52.0,718.0,182300.0
1125.0,50.0,616.0,142500.0
1007.0,43.0,558.0,137500.0
624.0,40.0,423.0,187500.0
946.0,40.0,700.0,112500.0
896.0,21.0,735.0,171900.0
1868.0,43.0,1061.0,93800.0
3221.0,41.0,1959.0,97500.0
1630.0,52.0,1162.0,104200.0
1170.0,52.0,701.0,87500.0
945.0,52.0,576.0,83100.0
1238.0,52.0,622.0,87500.0
1489.0,52.0,728.0,85300.0
1387.0,52.0,1074.0,80300.0
158.0,2.0,94.0,60000.0
1121.0,52.0,554.0,75700.0
135.0,49.0,86.0,75000.0
760.0,50.0,377.0,86100.0
1224.0,52.0,521.0,76100.0
828.0,48.0,392.0,73500.0
1010.0,52.0,604.0,78400.0
1455.0,48.0,788.0,84400.0
1027.0,52.0,492.0,81300.0
572.0,52.0,274.0,85000.0
2801.0,46.0,1823.0,129200.0
768.0,26.0,392.0,82500.0
935.0,46.0,582.0,95200.0
844.0,49.0,560.0,75000.0
12.0,46.0,18.0,67500.0
835.0,20.0,290.0,137500.0
1237.0,17.0,762.0,177500.0
2914.0,36.0,1236.0,102100.0
1207.0,19.0,721.0,108300.0
1745.0,23.0,1054.0,112500.0
684.0,38.0,344.0,131300.0
924.0,17.0,609.0,162500.0
210.0,52.0,183.0,112500.0
340.0,52.0,200.0,112500.0
386.0,52.0,346.0,137500.0
948.0,35.0,467.0,118800.0
773.0,52.0,377.0,98200.0
880.0,40.0,582.0,118800.0
875.0,10.0,546.0,162500.0
105.0,10.0,125.0,137500.0
249.0,52.0,396.0,500001.0
994.0,16.0,800.0,162500.0
215.0,52.0,904.0,137500.0
96.0,52.0,191.0,162500.0
1055.0,27.0,718.0,187500.0
1715.0,39.0,1327.0,179200.0
5329.0,36.0,3469.0,130000.0
4596.0,31.0,2048.0,183800.0
335.0,29.0,202.0,125000.0
3682.0,22.0,2024.0,170000.0
3633.0,37.0,1838.0,193100.0
